,
-2195.7,-2195.7
-2200.3,-2200.3
-2284.9,-2284.9
-2301.8,-2301.8
-2347.5,-2347.5
-2361.7,-2361.7
-2320.2,-2320.2
-2419.7,-2419.7
-2441.8,-2441.8
-2494.5,-2494.5
-2491.7,-2491.7
-2493,-2493
-2511.1,-2511.1
-2479.8,-2479.8
-2487,-2487
-2559,-2559
-2590.3,-2590.3
-2585.4,-2585.4
-2663.6,-2663.6
-2677.6,-2677.6
-2721.9,-2721.9
-2626.9,-2626.9
-2546.1,-2546.1
-2487.7,-2487.7
-2410.2,-2410.2
-2261.2,-2261.2
-2212.6,-2212.6
-2271.6,-2271.6
-2260.3,-2260.3
-2274,-2274
-2245,-2245
-2181.3,-2181.3
-2114.9,-2114.9
-2110.2,-2110.2
-2106.9,-2106.9
-2128,-2128
-1995,-1995
-1983.8,-1983.8
-1989.7,-1989.7
-1981.5,-1981.5
-1936.9,-1936.9
-1859,-1859
-1959.1,-1959.1
-1982,-1982
-2021.6,-2021.6
-2047,-2047
-2076.6,-2076.6
-2089.4,-2089.4
-2097.1,-2097.1
-2107,-2107
-2149.4,-2149.4
-2094.9,-2094.9
-2067.8,-2067.8
-1985.8,-1985.8
-1963.2,-1963.2
-2062.1,-2062.1
-2051.8,-2051.8
-1985.9,-1985.9
-1970.2,-1970.2
-2015.3,-2015.3
-2011.3,-2011.3
-1953.5,-1953.5
-1882.5,-1882.5
-1887.9,-1887.9
-1917.9,-1917.9
-1964.9,-1964.9
-2011,-2011
-1979,-1979
-1990.4,-1990.4
-1975.8,-1975.8
-2002.2,-2002.2
-1944.1,-1944.1
-1971.3,-1971.3
-1973.9,-1973.9
-1992.1,-1992.1
-1946.4,-1946.4
-1941.6,-1941.6
-1955.6,-1955.6
-1944.6,-1944.6
-1935.8,-1935.8
-1956.2,-1956.2
-1889.8,-1889.8
-1978.3,-1978.3
-2029.5,-2029.5
-2062.2,-2062.2
-2101,-2101
-2049.1,-2049.1
-2092.6,-2092.6
-2046.5,-2046.5
-2126.4,-2126.4
-2186.1,-2186.1
-2062.9,-2062.9
-2021.6,-2021.6
-2040.1,-2040.1
-2090.2,-2090.2
-2135.1,-2135.1
-2033.7,-2033.7
-1959.4,-1959.4
-1967.5,-1967.5
-2025.6,-2025.6
-2038.5,-2038.5
-1949.6,-1949.6
-1909.1,-1909.1
-1937.2,-1937.2
-2000.3,-2000.3
-1983.4,-1983.4
-1998.8,-1998.8
-2052.3,-2052.3
-2133.5,-2133.5
-2140.1,-2140.1
-2093.7,-2093.7
-2157.5,-2157.5
-2207.1,-2207.1
-2315.9,-2315.9
-2342,-2342
-2308.1,-2308.1
-2366.9,-2366.9
-2460.2,-2460.2
-2418.5,-2418.5
-2303.7,-2303.7
-2286.6,-2286.6
-2300.8,-2300.8
-2303.4,-2303.4
-2238.1,-2238.1
-2207.7,-2207.7
-2189.5,-2189.5
-2215.6,-2215.6
-2211.7,-2211.7
-2173.1,-2173.1
-2230.3,-2230.3
-2292,-2292
-2281.7,-2281.7
-2262.2,-2262.2
-2277.6,-2277.6
-2271.4,-2271.4
-2121.2,-2121.2
-2139.1,-2139.1
-2196.3,-2196.3
-2248.7,-2248.7
-2222.6,-2222.6
-2248.3,-2248.3
-2240.9,-2240.9
-2128.5,-2128.5
-2084,-2084
-2020.3,-2020.3
-2086.9,-2086.9
-2053.6,-2053.6
-2062.4,-2062.4
-2096.2,-2096.2
-2111.6,-2111.6
-2109,-2109
-2152.9,-2152.9
-2285.9,-2285.9
-2264,-2264
-2290.9,-2290.9
-2265.5,-2265.5
-2254.7,-2254.7
-2216.3,-2216.3
-2158.8,-2158.8
-2183.1,-2183.1
-2229.8,-2229.8
-2227.2,-2227.2
-2125.4,-2125.4
-2119.2,-2119.2
-2054.2,-2054.2
-2017,-2017
-2005.3,-2005.3
-2044.7,-2044.7
-1949.3,-1949.3
-1962.4,-1962.4
-1934.3,-1934.3
-1883.8,-1883.8
-1895.7,-1895.7
-1930.4,-1930.4
-1967.1,-1967.1
-1907.4,-1907.4
-1832.8,-1832.8
-1795.7,-1795.7
-1769.3,-1769.3
-1706.7,-1706.7
-1630,-1630
-1686.9,-1686.9
-1714.2,-1714.2
-1717,-1717
-1668.5,-1668.5
-1702.2,-1702.2
-1754.5,-1754.5
-1745.5,-1745.5
-1738.7,-1738.7
-1770.8,-1770.8
-1856.1,-1856.1
-1884,-1884
-1894.8,-1894.8
-1909.4,-1909.4
-1862.3,-1862.3
-1810.1,-1810.1
-1804.6,-1804.6
-1789.4,-1789.4
-1704,-1704
-1637.3,-1637.3
-1636.4,-1636.4
-1611.9,-1611.9
-1673.5,-1673.5
-1716,-1716
-1726.7,-1726.7
-1711.2,-1711.2
-1678.6,-1678.6
-1653.4,-1653.4
-1688.5,-1688.5
-1672.4,-1672.4
-1689.8,-1689.8
-1672.4,-1672.4
-1686.1,-1686.1
-1748.1,-1748.1
-1797.3,-1797.3
-1784.1,-1784.1
-1749.6,-1749.6
-1748.2,-1748.2
-1720.6,-1720.6
-1677,-1677
-1688.1,-1688.1
-1730,-1730
-1713.7,-1713.7
-1668.3,-1668.3
-1678.4,-1678.4
-1675.7,-1675.7
-1592.5,-1592.5
-1608.1,-1608.1
-1624.9,-1624.9
-1568.2,-1568.2
-1529.2,-1529.2
-1540,-1540
-1638.5,-1638.5
-1677.2,-1677.2
-1635.7,-1635.7
-1590.2,-1590.2
-1623.4,-1623.4
-1547.6,-1547.6
-1556.1,-1556.1
-1623.1,-1623.1
-1593.1,-1593.1
-1577.6,-1577.6
-1570.8,-1570.8
-1594.3,-1594.3
-1594.4,-1594.4
-1592.5,-1592.5
-1648.2,-1648.2
-1614.4,-1614.4
-1610,-1610
-1621.8,-1621.8
-1550.8,-1550.8
-1589.8,-1589.8
-1578.3,-1578.3
-1653.5,-1653.5
-1535.1,-1535.1
-1534.5,-1534.5
-1539.1,-1539.1
-1510,-1510
-1504.1,-1504.1
-1461.2,-1461.2
-1394.4,-1394.4
-1403.2,-1403.2
-1427.8,-1427.8
-1389.2,-1389.2
-1404.6,-1404.6
-1418.4,-1418.4
-1441.2,-1441.2
-1467.4,-1467.4
-1529,-1529
-1615.3,-1615.3
-1692.3,-1692.3
-1699.9,-1699.9
-1690.8,-1690.8
-1696.9,-1696.9
-1775.1,-1775.1
-1738.5,-1738.5
-1697.7,-1697.7
-1711.6,-1711.6
-1782.9,-1782.9
-1843.2,-1843.2
-1888.6,-1888.6
-1874.3,-1874.3
-1827.9,-1827.9
-1885.7,-1885.7
-1950.2,-1950.2
-1952.6,-1952.6
-1943.4,-1943.4
-1927.7,-1927.7
-1967.1,-1967.1
-1987.2,-1987.2
-2037.9,-2037.9
-2128,-2128
-2108.8,-2108.8
-2087.7,-2087.7
-2122.5,-2122.5
-2134.8,-2134.8
-2174.5,-2174.5
-2119.2,-2119.2
-1981.2,-1981.2
-1952.2,-1952.2
-1940,-1940
-1958.4,-1958.4
-2054.4,-2054.4
-2090,-2090
-2079.7,-2079.7
-1981.7,-1981.7
-1901.8,-1901.8
-1893.4,-1893.4
-1936.6,-1936.6
-1940,-1940
-1894.3,-1894.3
-1930,-1930
-1871.1,-1871.1
-1901.7,-1901.7
-1947.5,-1947.5
-2055.8,-2055.8
-2107.6,-2107.6
-2084.8,-2084.8
-2108.1,-2108.1
-2078.8,-2078.8
-2058.9,-2058.9
-2026.3,-2026.3
-1974.3,-1974.3
-1897.6,-1897.6
-1870.4,-1870.4
-1894.6,-1894.6
-2032.2,-2032.2
-1955.3,-1955.3
-1899.8,-1899.8
-1918.3,-1918.3
-1897.3,-1897.3
-1793,-1793
-1779.4,-1779.4
-1777.4,-1777.4
-1765.3,-1765.3
-1724.6,-1724.6
-1714.7,-1714.7
-1685.3,-1685.3
-1579.6,-1579.6
-1601.9,-1601.9
-1651.4,-1651.4
-1577.9,-1577.9
-1577.7,-1577.7
-1586,-1586
-1554.4,-1554.4
-1438.5,-1438.5
-1311,-1311
-1381.3,-1381.3
-1435.4,-1435.4
-1513.4,-1513.4
-1507,-1507
-1459.1,-1459.1
-1479.1,-1479.1
-1597.3,-1597.3
-1595.5,-1595.5
-1569.5,-1569.5
-1573,-1573
-1651.6,-1651.6
-1706.1,-1706.1
-1699.1,-1699.1
-1634.8,-1634.8
-1649.1,-1649.1
-1657.5,-1657.5
-1705,-1705
-1763.7,-1763.7
-1767.6,-1767.6
-1786.5,-1786.5
-1858.9,-1858.9
-1940.5,-1940.5
-1846.8,-1846.8
-1808.8,-1808.8
-1821.4,-1821.4
-1915.3,-1915.3
-1903.3,-1903.3
-1893.6,-1893.6
-1874.5,-1874.5
-1904.5,-1904.5
-1908.9,-1908.9
-1798.3,-1798.3
-1760,-1760
-1795,-1795
-1747.5,-1747.5
-1735.3,-1735.3
-1717,-1717
-1715.4,-1715.4
-1687.4,-1687.4
-1720.2,-1720.2
-1825.7,-1825.7
-1717.3,-1717.3
-1714.8,-1714.8
-1658.6,-1658.6
-1646.3,-1646.3
-1669.2,-1669.2
-1672.6,-1672.6
-1739.3,-1739.3
-1693.4,-1693.4
-1594.8,-1594.8
-1668.6,-1668.6
-1759.8,-1759.8
-1857.2,-1857.2
-1885.7,-1885.7
-1899.9,-1899.9
-1745.5,-1745.5
-1714.6,-1714.6
-1648.2,-1648.2
-1648.5,-1648.5
-1637,-1637
-1599.1,-1599.1
-1577.1,-1577.1
-1585.1,-1585.1
-1635.6,-1635.6
-1701.4,-1701.4
-1701.5,-1701.5
-1711.8,-1711.8
-1662.1,-1662.1
-1587.4,-1587.4
-1685.3,-1685.3
-1713.6,-1713.6
-1663.4,-1663.4
-1623.2,-1623.2
-1606.1,-1606.1
-1676.6,-1676.6
-1770.9,-1770.9
-1765.2,-1765.2
-1773.6,-1773.6
-1833.6,-1833.6
-1826.3,-1826.3
-1863.5,-1863.5
-1922.9,-1922.9
-1934.9,-1934.9
-1861.8,-1861.8
-1898.4,-1898.4
-1945.1,-1945.1
-1991,-1991
-2045.6,-2045.6
-1980.7,-1980.7
-1986.1,-1986.1
-2012.5,-2012.5
-2076,-2076
-2082.6,-2082.6
-2084.9,-2084.9
-2118.9,-2118.9
-2086.3,-2086.3
-2036.7,-2036.7
-2039.5,-2039.5
-2048.4,-2048.4
-2007.4,-2007.4
-2037.9,-2037.9
-2058.6,-2058.6
-2030.1,-2030.1
-2032,-2032
-2048.6,-2048.6
-2098.6,-2098.6
-2116.7,-2116.7
-2199,-2199
-2241.1,-2241.1
-2223.9,-2223.9
-2097.1,-2097.1
-2021.4,-2021.4
-2023.6,-2023.6
-2003.2,-2003.2
-1974.5,-1974.5
-1893.1,-1893.1
-1902.1,-1902.1
-1955,-1955
-1981.5,-1981.5
-1931.5,-1931.5
-1949,-1949
-1898.7,-1898.7
-1822.9,-1822.9
-1800.2,-1800.2
-1782.3,-1782.3
-1803.7,-1803.7
-1760.9,-1760.9
-1708.6,-1708.6
-1560.2,-1560.2
-1547.7,-1547.7
-1554.7,-1554.7
-1587.2,-1587.2
-1604.2,-1604.2
-1531,-1531
-1522.3,-1522.3
-1522.2,-1522.2
-1643.7,-1643.7
-1626.3,-1626.3
-1580.2,-1580.2
-1515.4,-1515.4
-1427.5,-1427.5
-1421.7,-1421.7
-1493,-1493
-1513.6,-1513.6
-1499,-1499
-1484.6,-1484.6
-1470.8,-1470.8
-1471,-1471
-1466.7,-1466.7
-1461.8,-1461.8
-1466.4,-1466.4
-1429.2,-1429.2
-1413.3,-1413.3
-1463.5,-1463.5
-1480.3,-1480.3
-1436.3,-1436.3
-1273.4,-1273.4
-1227.7,-1227.7
-1197.5,-1197.5
-1235.6,-1235.6
-1251.7,-1251.7
-1212.3,-1212.3
-1226.4,-1226.4
-1251.2,-1251.2
-1224.9,-1224.9
-1289.5,-1289.5
-1332.2,-1332.2
-1279.6,-1279.6
-1325.4,-1325.4
-1403.3,-1403.3
-1432.2,-1432.2
-1497.3,-1497.3
-1600.8,-1600.8
-1636.5,-1636.5
-1661.7,-1661.7
-1651.6,-1651.6
-1658,-1658
-1708.3,-1708.3
-1636.1,-1636.1
-1625.8,-1625.8
-1662.9,-1662.9
-1706.1,-1706.1
-1734.4,-1734.4
-1671.9,-1671.9
-1642.3,-1642.3
-1600.7,-1600.7
-1624.9,-1624.9
-1637.9,-1637.9
-1637.1,-1637.1
-1652.4,-1652.4
-1573,-1573
-1530.4,-1530.4
-1430.2,-1430.2
-1402.2,-1402.2
-1414,-1414
-1404.6,-1404.6
-1404.1,-1404.1
-1432.1,-1432.1
-1387.1,-1387.1
-1342.3,-1342.3
-1302.8,-1302.8
-1268,-1268
-1254.5,-1254.5
-1288.2,-1288.2
-1234.5,-1234.5
-1252.6,-1252.6
-1217.6,-1217.6
-1166.3,-1166.3
-1081,-1081
-1132,-1132
-1222.4,-1222.4
-1270.6,-1270.6
-1180.4,-1180.4
-1232.4,-1232.4
-1301.8,-1301.8
-1293.5,-1293.5
-1243.4,-1243.4
-1237,-1237
-1197.5,-1197.5
-1123.4,-1123.4
-1083.2,-1083.2
-1193.9,-1193.9
-1120.2,-1120.2
-1134.2,-1134.2
-1178.3,-1178.3
-1210.9,-1210.9
-1235.8,-1235.8
-1262.8,-1262.8
-1282.6,-1282.6
-1256.9,-1256.9
-1173.3,-1173.3
-1108.1,-1108.1
-1078.2,-1078.2
-967.11,-967.11
-935.92,-935.92
-918.37,-918.37
-835.58,-835.58
-794.79,-794.79
-813.35,-813.35
-747.13,-747.13
-652.24,-652.24
-621.46,-621.46
-667.73,-667.73
-639.82,-639.82
-574.79,-574.79
-664.32,-664.32
-723.56,-723.56
-706.82,-706.82
-539.51,-539.51
-416.56,-416.56
-381.21,-381.21
-357.86,-357.86
-321.52,-321.52
-400.15,-400.15
-398.59,-398.59
-298.26,-298.26
-275.06,-275.06
-253.42,-253.42
-262.74,-262.74
-282.08,-282.08
-269.97,-269.97
-262.77,-262.77
-270.67,-270.67
-252.66,-252.66
-293.73,-293.73
-285.26,-285.26
-274.32,-274.32
-203.14,-203.14
-77.957,-77.957
-74.024,-74.024
-37.369,-37.369
-18.282,-18.282
-52.806,-52.806
-22.292,-22.292
-48.97,-48.97
-45.095,-45.095
34.408,34.408
71.054,71.054
74.283,74.283
103.96,103.96
144.4,144.4
127.81,127.81
51.689,51.689
29.156,29.156
137.27,137.27
182.46,182.46
99.425,99.425
40.738,40.738
83.408,83.408
125.73,125.73
157.19,157.19
224.79,224.79
276.33,276.33
313.49,313.49
269.92,269.92
231.14,231.14
208.41,208.41
240.16,240.16
267.8,267.8
329.42,329.42
323.41,323.41
351.34,351.34
385.32,385.32
422.17,422.17
415.94,415.94
417.16,417.16
477.97,477.97
335.38,335.38
299,299
337.64,337.64
353.89,353.89
416.25,416.25
408.87,408.87
363.61,363.61
417.43,417.43
426.68,426.68
548.22,548.22
660.29,660.29
646.96,646.96
590.56,590.56
601.16,601.16
576.66,576.66
668.33,668.33
657.09,657.09
699.62,699.62
690.81,690.81
727.7,727.7
741.55,741.55
787.63,787.63
686.04,686.04
663.53,663.53
740.51,740.51
832.59,832.59
897.86,897.86
881.79,881.79
970.43,970.43
920.97,920.97
908.15,908.15
871.55,871.55
808.02,808.02
834.49,834.49
875.74,875.74
854.37,854.37
803.19,803.19
675.13,675.13
696.36,696.36
753.88,753.88
792,792
808.87,808.87
795.72,795.72
766.77,766.77
691.86,691.86
663.08,663.08
784.14,784.14
818.23,818.23
888.11,888.11
926.16,926.16
946.78,946.78
1012,1012
957.92,957.92
898.45,898.45
836.75,836.75
869.91,869.91
874.01,874.01
920.37,920.37
960.59,960.59
970.35,970.35
1015.3,1015.3
985.91,985.91
955.92,955.92
1072.4,1072.4
1170.4,1170.4
1154.2,1154.2
1194.3,1194.3
1172.3,1172.3
1160,1160
1165.4,1165.4
1150.5,1150.5
1176,1176
1186.3,1186.3
1187.7,1187.7
1118.4,1118.4
1106,1106
1068.9,1068.9
1125.8,1125.8
1215.4,1215.4
1155.5,1155.5
1192.8,1192.8
1226.7,1226.7
1276.3,1276.3
1387.7,1387.7
1469.1,1469.1
1345.2,1345.2
1296,1296
1281.5,1281.5
1254.5,1254.5
1195.5,1195.5
1201.4,1201.4
1144.2,1144.2
1112.3,1112.3
1021.3,1021.3
1032.3,1032.3
982.28,982.28
975.48,975.48
1040.9,1040.9
996.1,996.1
995.45,995.45
974.6,974.6
915.85,915.85
917.51,917.51
926.79,926.79
930.22,930.22
935.36,935.36
1043.7,1043.7
1054.6,1054.6
1011.7,1011.7
842.44,842.44
774.34,774.34
755.92,755.92
816.26,816.26
863.12,863.12
854.63,854.63
909.03,909.03
1022.6,1022.6
1092.9,1092.9
1112.8,1112.8
1075.2,1075.2
1027,1027
1043.6,1043.6
1015.3,1015.3
904.47,904.47
777.06,777.06
764.33,764.33
744.86,744.86
774.04,774.04
825.74,825.74
848.65,848.65
901.13,901.13
882.59,882.59
906.35,906.35
943.78,943.78
976.33,976.33
971.17,971.17
1013.1,1013.1
1070,1070
1041.8,1041.8
1037.3,1037.3
1017.9,1017.9
886.01,886.01
803.08,803.08
816.82,816.82
872.85,872.85
946.52,946.52
984.84,984.84
870.41,870.41
836.27,836.27
773.03,773.03
791.5,791.5
809.13,809.13
736.88,736.88
609.56,609.56
520.8,520.8
503.19,503.19
474.19,474.19
453.13,453.13
453.73,453.73
460.89,460.89
519.31,519.31
606.59,606.59
660.59,660.59
626.12,626.12
699.23,699.23
672.31,672.31
680.79,680.79
691.67,691.67
732.64,732.64
739.04,739.04
756.76,756.76
744.62,744.62
674.16,674.16
672.3,672.3
702.66,702.66
583.13,583.13
523.82,523.82
535.97,535.97
463.47,463.47
475.77,475.77
478.7,478.7
488.62,488.62
484.43,484.43
472.78,472.78
509.77,509.77
506.72,506.72
489.56,489.56
462.72,462.72
514.68,514.68
548,548
503.7,503.7
543.73,543.73
631.92,631.92
724.71,724.71
805.6,805.6
886.82,886.82
910.81,910.81
911.55,911.55
856.64,856.64
853.37,853.37
879.81,879.81
866.12,866.12
834.19,834.19
857.94,857.94
871.8,871.8
960.16,960.16
1075.2,1075.2
1109.8,1109.8
1101.9,1101.9
